Current name,Current field,units,,To keep?,New name,New field,New units,Resolution,Long. Lat,Eastings Northings,Location,Project,Parameter,SuDS/GI type,All,,Weather,Rainfall,Outflow (drain gauge),Soil moisture/VWC,Soil temperature,Soil electrical conductivity,Soil tension/pressure,Water depth,Runoff simulator,Rel Humidity,Air temperature,Barometric pressure,Evapotranspiration,Wind,Wind direction,Wind speed,Power,Solar radiation,PLEXUS,Swale,UGDaMS,CACTUS,ACHILLES,Biochar,City wide,Green roof,NGIF other,Lysimeter,Ensemble,Swale,Green roof,Cell A,Cell B
GP2-10-68 (Ensemble F + Pavement),F2_ECb_200,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625927",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_ECb_400,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625928",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_ECb_600,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625929",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_ECb_800,mS.m-1,,Y,Ensemble F,,,,"54.974420, -1.625930",,Ensemble F, ,Soil electrical conductivity,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Psi_200,kPa,,Y,Ensemble F,,,,"54.974420, -1.625931",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Psi_400,kPa,,Y,Ensemble F,,,,"54.974420, -1.625932",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Psi_600,kPa,,Y,Ensemble F,,,,"54.974420, -1.625933",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_Psi_800,kPa,,Y,Ensemble F,,,,"54.974420, -1.625934",,Ensemble F, ,Soil tension/pressure,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp(2)_200,deg C,,Y,Ensemble F,,,,"54.974420, -1.625935",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
GP2-10-68 (Ensemble F + Pavement),F2_SoilTemp(2)_400,deg C,,Y,Ensemble F,,,,"54.974420, -1.625936",,Ensemble F, ,Soil temperature,Ensemble,All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
